Date,Team1,Team2,Link
Wed, May 1, 2024 
							Yesterday,Bon Bon Bum Contra GC,Kunai Esports FEM,https://www.vlr.gg/335407/bon-bon-bum-contra-gc-vs-kunai-esports-fem-game-changers-2024-latam-north-swift-cup-2-gf
Wed, May 1, 2024 
							Yesterday,Zen Esports GC,ROYAL ONSLAUGHT GAMING,https://www.vlr.gg/335774/zen-esports-gc-vs-royal-onslaught-gaming-game-changers-2024-latam-south-swift-cup-2-gf
Wed, May 1, 2024 
							Yesterday,2Game Esports,Hero Base,https://www.vlr.gg/329332/2game-esports-vs-hero-base-gamers-club-challengers-league-2024-brazil-split-1-playoffs-lbf
Wed, May 1, 2024 
							Yesterday,Karmine Corp,Team Heretics,https://www.vlr.gg/318937/karmine-corp-vs-team-heretics-champions-tour-2024-emea-stage-1-w5
Wed, May 1, 2024 
							Yesterday,BBL Esports,GIANTX,https://www.vlr.gg/318936/bbl-esports-vs-giantx-champions-tour-2024-emea-stage-1-w5
Wed, May 1, 2024 
							Yesterday,MLT Esports,Revenant Esports,https://www.vlr.gg/324727/mlt-esports-vs-revenant-esports-omen-challengers-league-2024-south-asia-split-1-w5
Wed, May 1, 2024 
							Yesterday,DRX Changers,FENNEL GC,https://www.vlr.gg/334300/drx-changers-vs-fennel-gc-game-changers-2024-japan-split-1-lf
Wed, May 1, 2024 
							Yesterday,Carnival Gaming,True Rippers,https://www.vlr.gg/324726/carnival-gaming-vs-true-rippers-omen-challengers-league-2024-south-asia-split-1-w5
Wed, May 1, 2024 
							Yesterday,Arena Internet Cafe,JFT,https://www.vlr.gg/325997/arena-internet-cafe-vs-jft-challengers-league-oceania-stage-1-lf
Wed, May 1, 2024 
							Yesterday,FENNEL GC,Meteor,https://www.vlr.gg/334299/fennel-gc-vs-meteor-game-changers-2024-japan-split-1-lr1
Tue, April 30, 2024,ZETA DIVISION GC,DRX Changers,https://www.vlr.gg/334298/zeta-division-gc-vs-drx-changers-game-changers-2024-japan-split-1-ubf
Tue, April 30, 2024,Akave Esports GC,FUSION X,https://www.vlr.gg/324812/akave-esports-gc-vs-fusion-x-game-changers-2024-latam-north-opening-w3
Tue, April 30, 2024,2Game Esports,RED Canids,https://www.vlr.gg/329327/2game-esports-vs-red-canids-gamers-club-challengers-league-2024-brazil-split-1-playoffs-ubf
Tue, April 30, 2024,9z Team GC,KRÜ BLAZE,https://www.vlr.gg/326889/9z-team-gc-vs-kr-blaze-game-changers-2024-latam-south-opening-w3
Tue, April 30, 2024,Legacy,Hero Base,https://www.vlr.gg/329331/legacy-vs-hero-base-gamers-club-challengers-league-2024-brazil-split-1-playoffs-lr2
Tue, April 30, 2024,Orangutan,Grayfox Esports,https://www.vlr.gg/324715/orangutan-vs-grayfox-esports-omen-challengers-league-2024-south-asia-split-1-w3
Tue, April 30, 2024,JFT,BOBO,https://www.vlr.gg/325996/jft-vs-bobo-challengers-league-oceania-stage-1-lr3
Tue, April 30, 2024,MLT Esports,Reckoning Esports,https://www.vlr.gg/324714/mlt-esports-vs-reckoning-esports-omen-challengers-league-2024-south-asia-split-1-w3
Tue, April 30, 2024,Meteor,DRX Changers,https://www.vlr.gg/334297/meteor-vs-drx-changers-game-changers-2024-japan-split-1-ubsf
Tue, April 30, 2024,Arena Internet Cafe,JiJieHao,https://www.vlr.gg/325990/arena-internet-cafe-vs-jijiehao-challengers-league-oceania-stage-1-uf
Tue, April 30, 2024,FENNEL GC,ZETA DIVISION GC,https://www.vlr.gg/334296/fennel-gc-vs-zeta-division-gc-game-changers-2024-japan-split-1-ubsf
